Iteration           k           s           N50
1           16            200           3269
2           16            2000            1263
3           17            2000            1640
4           22            200           7794
5           27            200           19308
6           28            200           19356
7           29            290           17858
8           30            1100            9467
9           31            2000            12520
10            32            200           14700
11            37            200           16442
12            37            2000            16442
13            41            200           16451
14            41            1982            16451
15            41            2000            16451
16            43            1170            16449
17            43            1997            16449
18            45            200           8594
19            45            245           8594
20            45            2000            6308
